,Name,Career Home Runs
0,Babe Ruth,708
1,Barry Bonds,762
2,Carlton Fisk,351
3,Mike Piazza,396
4,David Ortiz,483
5,Marcell Ozuna,115
6,Lou Gehrig,493
7,Willie McCovey,439
8,Mark McGwire,566
9,Rickey Henderson,73
10,Craig Biggio,53
11,Gates Brown,16
12,Jerry Lynch,18
13,Matt Stairs,22
14,Cliff Johnson,17
15,Wes Ferrell,37
16,Alex Rodriguez,696
17,Hank Aaron,733
18,Robinson Cano,296
19,Jeff Kent,349
20,"Cal Ripken, Jr.",345
21,Ernie Banks,277
22,Mickey Mantle,536
23,Chipper Jones,468
24,"Ken Griffey, Jr.",8
25,Eddie Mathews,7
26,Willie Mays,7
27,Adam Dunn,8
28,Frank Robinson,8
